"Name","BM1014.1","BM1126.1","BM1284.5","BM374.4","BM943.1","X4959BM1","BM1072.1","BM1284.1","BM374.1","BM911.1","BM943.4"
"NIPBL",11.8326888739017,11.5079667441448,12.0990433147118,11.5184467455334,11.4332871479803,11.5018645013281,11.5234444877699,11.8326888739017,11.611998961331,11.5939601682193,11.9153748491683
"EBF1",13.8919143927509,14.5001687472515,13.9607077872142,13.3969917825173,14.6436066137308,10.272379582234,14.0180162350341,13.8919143927509,14.0515402425693,12.9812519520445,14.4103126604769
"ACSL6",8.75622752071058,4.10490540570292,8.36925094883917,5.69242859302158,4.35968610669571,9.01849724880128,3.60209100517242,8.75622752071058,8.80022423697372,6.74611577995325,6.01629470825429
"IL3","-Inf",-0.191830803378623,0.298033012221285,-1.21978398370089,"-Inf","-Inf",-1.37243798416013,"-Inf","-Inf","-Inf","-Inf"
"TLX3","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"COG5","-Inf","-Inf","-Inf","-Inf",7.89843370158054,"-Inf","-Inf","-Inf","-Inf","-Inf",8.31866094091552
"HEY1","-Inf",-1.74462737781649,0.696309034253335,-0.353472336472791,"-Inf",2.5964063752666,0.598836815183723,"-Inf",-1.82562937762647,-0.458096661526172,-1.79804000116571
"COL1A2",6.63744321556849,2.4464073740579,2.96521651285048,3.92832389070725,1.14412078726055,2.90084053741178,4.16562602390632,6.63744321556849,3.98746667445933,6.22466604873043,2.52691113969878
"COX6C",11.2012032401579,11.1389507580299,11.4698565288169,10.8081851199849,11.0772232230365,11.6922625046964,11.1534361554635,11.2012032401579,11.365268940085,11.5404299827235,11.9797714613213
"PSIP1",11.5275856786404,11.7028537546138,11.6045601807768,11.0833015730285,11.2094778376234,11.2372450918042,11.2331532262247,11.5275856786404,11.3822135203577,11.3812065780147,11.5734687347708
"SYK",9.57213852513859,9.61272596930057,9.47043187421655,9.75238973424851,9.96127026233419,9.72533502444554,9.8572609308464,9.57213852513859,9.4701824518665,9.95634874360524,8.9547152091477
"BRWD3",9.66673106937559,9.3065608894931,9.81409815336533,9.15622618807869,9.3903668993005,9.82203014041972,9.25337483455599,9.66673106937559,9.68673473251313,9.51518402005262,9.7098885085037
"CDX2","-Inf",-0.263038445385564,"-Inf","-Inf",2.38735785317247,0.874590036923852,"-Inf","-Inf",-3.34776592709076,"-Inf",6.06100168579408
"NSD1",10.3905343804766,10.5617981192849,10.3715846246378,10.2886773928364,10.405567879279,10.8278212772391,10.7330497577783,10.3905343804766,10.4011733330506,10.6615700194258,10.4229466867001
"RET",3.29949334151025,-0.099718598268536,1.12077725371158,0.713549778564089,3.22096834548687,6.97330061725114,4.27497239557577,3.29949334151025,1.93647889224555,2.47346249600479,-0.928459723288764
"CASP7",8.83377841540778,9.4197298695333,9.26661660884757,8.87554653063492,9.88391824678707,8.65888265117722,8.8945613560361,8.83377841540778,8.95745684865876,9.41747225346602,9.48307495863839
